"pro","class"
0.325462171450731,"No"
0.224489816635237,"No"
0.166181591129142,"No"
0.976274249398885,"No"
0.254343557298614,"No"
0.277294773652783,"No"
0.247350849072334,"No"
0.280385852580389,"No"
0.97928180699682,"No"
0.42935059198829,"No"
0.266713754708225,"No"
0.279070632215151,"No"
0.251333628801222,"No"
0.36638559298164,"No"
0.446061350107011,"No"
0.0454674393090322,"No"
0.26584701723372,"No"
0.0919665376467321,"No"
0.336286308945122,"No"
0.497422706345324,"No"
0.217502006007961,"No"
0.234269849412359,"No"
0.56107313784062,"No"
0.251097018930336,"No"
0.246981516475407,"No"
0.21612095467623,"No"
0.454040068105404,"No"
0.436999497761893,"No"
0.463657775771073,"No"
0.284705810279201,"No"
0.254343557298614,"No"
0.410090592565698,"No"
0.453234710542054,"No"
0.246064857751949,"No"
0.0858195100975923,"No"
0.478098156434851,"No"
0.325509049970583,"No"
0.271994594274873,"No"
0.0644735954919668,"No"
0.379913926801122,"No"
0.296793699352963,"No"
